"REF_DATE","GEO","DGUID","Business characteristics","Length of time business or organization can continue to operate","Length of time","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","1 to 4 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, less than 1 month","Percent","239","units","0","v1276224183","1.19.2.1","0.2","A","","","1"
"2021","Canada","2016A000011124","1 to 4 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 1 month to less than 3 months","Percent","239","units","0","v1276224184","1.19.2.2","1.1","A","","","1"
"2021","Canada","2016A000011124","1 to 4 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 3 months to less than 6 months","Percent","239","units","0","v1276224185","1.19.2.3","2.9","A","","","1"
"2021","Canada","2016A000011124","1 to 4 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 6 months to less than 12 months","Percent","239","units","0","v1276224186","1.19.2.4","6.1","A","","","1"
"2021","Canada","2016A000011124","1 to 4 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 12 months or more","Percent","239","units","0","v1276224187","1.19.2.5","68.1","A","","","1"
"2021","Canada","2016A000011124","5 to 19 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, less than 1 month","Percent","239","units","0","v1276224207","1.20.2.1","0.3","A","","","1"
"2021","Canada","2016A000011124","5 to 19 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 1 month to less than 3 months","Percent","239","units","0","v1276224208","1.20.2.2","0.8","A","","","1"
"2021","Canada","2016A000011124","5 to 19 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 3 months to less than 6 months","Percent","239","units","0","v1276224209","1.20.2.3","3.2","A","","","1"
"2021","Canada","2016A000011124","5 to 19 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 6 months to less than 12 months","Percent","239","units","0","v1276224210","1.20.2.4","5.5","A","","","1"
"2021","Canada","2016A000011124","5 to 19 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 12 months or more","Percent","239","units","0","v1276224211","1.20.2.5","66.7","A","","","1"
"2021","Canada","2016A000011124","20 to 99 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, less than 1 month","Percent","239","units","0","v1276224219","1.21.2.1","0.0","A","","","1"
"2021","Canada","2016A000011124","20 to 99 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 1 month to less than 3 months","Percent","239","units","0","v1276224220","1.21.2.2","0.8","A","","","1"
"2021","Canada","2016A000011124","20 to 99 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 3 months to less than 6 months","Percent","239","units","0","v1276224221","1.21.2.3","1.7","A","","","1"
"2021","Canada","2016A000011124","20 to 99 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 6 months to less than 12 months","Percent","239","units","0","v1276224222","1.21.2.4","3.7","A","","","1"
"2021","Canada","2016A000011124","20 to 99 employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 12 months or more","Percent","239","units","0","v1276224223","1.21.2.5","74.3","A","","","1"
"2021","Canada","2016A000011124","100 or more employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, less than 1 month","Percent","239","units","0","v1276224231","1.22.2.1","0.0","A","","","1"
"2021","Canada","2016A000011124","100 or more employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 1 month to less than 3 months","Percent","239","units","0","v1276224232","1.22.2.2","0.1","A","","","1"
"2021","Canada","2016A000011124","100 or more employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 3 months to less than 6 months","Percent","239","units","0","v1276224233","1.22.2.3","0.6","A","","","1"
"2021","Canada","2016A000011124","100 or more employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 6 months to less than 12 months","Percent","239","units","0","v1276224234","1.22.2.4","1.6","A","","","1"
"2021","Canada","2016A000011124","100 or more employees","Businesses or organizations can continue to operate before considering closure or bankruptcy","Length of time, 12 months or more","Percent","239","units","0","v1276224235","1.22.2.5","79.2","A","","","1"


