"REF_DATE","GEO","DGUID","Business characteristics","Length of time business can continue to operate before considering further staffing actions, closure or bankruptcy","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-05","Canada","2016A000011124","1 to 4 employees","Less than 1 month","Percent","239","units","0","v1200107474","1.33.1","1.3","A","","","1"
"2020-05","Canada","2016A000011124","1 to 4 employees","1 month to less than 3 months","Percent","239","units","0","v1200107475","1.33.2","6.0","A","","","1"
"2020-05","Canada","2016A000011124","1 to 4 employees","3 months to less than 6 months","Percent","239","units","0","v1200107476","1.33.3","9.9","A","","","1"
"2020-05","Canada","2016A000011124","1 to 4 employees","6 months to less than 12 months","Percent","239","units","0","v1200107477","1.33.4","10.4","A","","","1"
"2020-05","Canada","2016A000011124","1 to 4 employees","12 months or more","Percent","239","units","0","v1200107478","1.33.5","35.9","A","","","1"
"2020-05","Canada","2016A000011124","5 to 19 employees","Less than 1 month","Percent","239","units","0","v1200107480","1.34.1","1.1","A","","","1"
"2020-05","Canada","2016A000011124","5 to 19 employees","1 month to less than 3 months","Percent","239","units","0","v1200107481","1.34.2","7.6","A","","","1"
"2020-05","Canada","2016A000011124","5 to 19 employees","3 months to less than 6 months","Percent","239","units","0","v1200107482","1.34.3","13.1","A","","","1"
"2020-05","Canada","2016A000011124","5 to 19 employees","6 months to less than 12 months","Percent","239","units","0","v1200107483","1.34.4","11.9","A","","","1"
"2020-05","Canada","2016A000011124","5 to 19 employees","12 months or more","Percent","239","units","0","v1200107484","1.34.5","37.9","A","","","1"
"2020-05","Canada","2016A000011124","20 to 99 employees","Less than 1 month","Percent","239","units","0","v1200107486","1.35.1","1.1","A","","","1"
"2020-05","Canada","2016A000011124","20 to 99 employees","1 month to less than 3 months","Percent","239","units","0","v1200107487","1.35.2","8.0","A","","","1"
"2020-05","Canada","2016A000011124","20 to 99 employees","3 months to less than 6 months","Percent","239","units","0","v1200107488","1.35.3","13.0","A","","","1"
"2020-05","Canada","2016A000011124","20 to 99 employees","6 months to less than 12 months","Percent","239","units","0","v1200107489","1.35.4","10.1","A","","","1"
"2020-05","Canada","2016A000011124","20 to 99 employees","12 months or more","Percent","239","units","0","v1200107490","1.35.5","37.0","A","","","1"
"2020-05","Canada","2016A000011124","100 or more employees","Less than 1 month","Percent","239","units","0","v1200107492","1.36.1","0.5","A","","","1"
"2020-05","Canada","2016A000011124","100 or more employees","1 month to less than 3 months","Percent","239","units","0","v1200107493","1.36.2","7.9","A","","","1"
"2020-05","Canada","2016A000011124","100 or more employees","3 months to less than 6 months","Percent","239","units","0","v1200107494","1.36.3","10.5","A","","","1"
"2020-05","Canada","2016A000011124","100 or more employees","6 months to less than 12 months","Percent","239","units","0","v1200107495","1.36.4","10.0","A","","","1"
"2020-05","Canada","2016A000011124","100 or more employees","12 months or more","Percent","239","units","0","v1200107496","1.36.5","40.2","A","","","1"


